// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\483f9468-bc76-41ec-8f67-8a453b2d505e
// command took 2.64s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\483f9468-bc76-41ec-8f67-8a453b2d505e
// command took 3.56s and exited with 0
// ***** Done, took 00:00:06 (6.36 sec)   *****
// Found 2 benchmarks:
//   Runner.TestStruct: DefaultJob [N=1000]
//   Runner.TestStructObject: DefaultJob [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Runner.TestStruct: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "483f9468-bc76-41ec-8f67-8a453b2d505e.dll" --benchmarkName "BoxingBenchmark.Runner.TestStruct(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\483f9468-bc76-41ec-8f67-8a453b2d505e\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 313800.00 ns, 313.8000 us/op
WorkloadJitting  1: 1 op, 5089800.00 ns, 5.0898 ms/op

OverheadJitting  2: 16 op, 456800.00 ns, 28.5500 us/op
WorkloadJitting  2: 16 op, 2845300.00 ns, 177.8313 us/op

WorkloadPilot    1: 16 op, 1495900.00 ns, 93.4938 us/op
WorkloadPilot    2: 32 op, 4450600.00 ns, 139.0813 us/op
WorkloadPilot    3: 64 op, 7647200.00 ns, 119.4875 us/op
WorkloadPilot    4: 128 op, 15863500.00 ns, 123.9336 us/op
WorkloadPilot    5: 256 op, 30539400.00 ns, 119.2945 us/op
WorkloadPilot    6: 512 op, 56525900.00 ns, 110.4021 us/op
WorkloadPilot    7: 1024 op, 109530700.00 ns, 106.9636 us/op
WorkloadPilot    8: 2048 op, 211571000.00 ns, 103.3062 us/op
WorkloadPilot    9: 4096 op, 420562600.00 ns, 102.6764 us/op
WorkloadPilot   10: 8192 op, 829518400.00 ns, 101.2596 us/op

OverheadWarmup   1: 8192 op, 15800.00 ns, 1.9287 ns/op
OverheadWarmup   2: 8192 op, 13200.00 ns, 1.6113 ns/op
OverheadWarmup   3: 8192 op, 12900.00 ns, 1.5747 ns/op
OverheadWarmup   4: 8192 op, 13000.00 ns, 1.5869 ns/op
OverheadWarmup   5: 8192 op, 13000.00 ns, 1.5869 ns/op
OverheadWarmup   6: 8192 op, 27200.00 ns, 3.3203 ns/op
OverheadWarmup   7: 8192 op, 13900.00 ns, 1.6968 ns/op

OverheadActual   1: 8192 op, 14300.00 ns, 1.7456 ns/op
OverheadActual   2: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual   3: 8192 op, 14400.00 ns, 1.7578 ns/op
OverheadActual   4: 8192 op, 14200.00 ns, 1.7334 ns/op
OverheadActual   5: 8192 op, 28500.00 ns, 3.4790 ns/op
OverheadActual   6: 8192 op, 14100.00 ns, 1.7212 ns/op
OverheadActual   7: 8192 op, 45600.00 ns, 5.5664 ns/op
OverheadActual   8: 8192 op, 14200.00 ns, 1.7334 ns/op
OverheadActual   9: 8192 op, 13800.00 ns, 1.6846 ns/op
OverheadActual  10: 8192 op, 17500.00 ns, 2.1362 ns/op
OverheadActual  11: 8192 op, 14100.00 ns, 1.7212 ns/op
OverheadActual  12: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual  13: 8192 op, 13900.00 ns, 1.6968 ns/op
OverheadActual  14: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual  15: 8192 op, 13900.00 ns, 1.6968 ns/op

WorkloadWarmup   1: 8192 op, 865246900.00 ns, 105.6210 us/op
WorkloadWarmup   2: 8192 op, 829831100.00 ns, 101.2977 us/op
WorkloadWarmup   3: 8192 op, 827928400.00 ns, 101.0655 us/op
WorkloadWarmup   4: 8192 op, 832306400.00 ns, 101.5999 us/op
WorkloadWarmup   5: 8192 op, 830308500.00 ns, 101.3560 us/op
WorkloadWarmup   6: 8192 op, 829651000.00 ns, 101.2758 us/op
WorkloadWarmup   7: 8192 op, 831492100.00 ns, 101.5005 us/op
WorkloadWarmup   8: 8192 op, 835790700.00 ns, 102.0252 us/op
WorkloadWarmup   9: 8192 op, 827694900.00 ns, 101.0370 us/op

// BeforeActualRun
WorkloadActual   1: 8192 op, 832791200.00 ns, 101.6591 us/op
WorkloadActual   2: 8192 op, 875336800.00 ns, 106.8526 us/op
WorkloadActual   3: 8192 op, 871243900.00 ns, 106.3530 us/op
WorkloadActual   4: 8192 op, 872794100.00 ns, 106.5422 us/op
WorkloadActual   5: 8192 op, 864720900.00 ns, 105.5568 us/op
WorkloadActual   6: 8192 op, 830811400.00 ns, 101.4174 us/op
